nazev,nazev_zkrac,izo,ico,druh,druh_nazev,kraj,okres,obec,ulice,psc,kapacita,pocet_zaku,email,telefon,web,zrizovatel,zrizovatel_typ,reditel,datum_vzniku,rúian,lat,lon,competition_count,competition_density,dotace_had,dotace_last_year,dotace_total_czk,score_total,score_dotace,score_size,score_vz_gap,score_region,score_competition,pristup,pristup_label,priorita,rank
"Gymnázium Přírodní škola, z.ú.","Gymnázium Přírodní škola, z.ú.",108056911,25107500,C00,Střední škola,Hlavní město Praha,CZ01100,Praha,Prusíkova 2577,15500,100.0,70,sekretariat@prirodniskola.cz,,,,5,"RNDr. Marek Matura, Ph.D.",2005-01-01,25206427.0,50.0377984,14.3383971,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2500
"Střední odborná škola sociální, o.p.s.","SOŠ sociální, o.p.s.",000064556,26190508,C00,Střední škola,Hlavní město Praha,CZ0108,Praha,Křižíkova 345,18600,90.0,62,sossocialnipraha8@seznam.cz,,,,5,Ing. Jana Lukešová,2005-01-01,22352147.0,50.0899579,14.4400993,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2501
Církevní střední škola Jana Boska,Církevní střední škola Jana Boska,110380223,48551694,C00,Střední škola,Hlavní město Praha,CZ0108,Praha,Vítkova 15,18600,135.0,94,reditelka@cssjb.cz,,,"Provincie kongregace Dcer Panny Marie Pomocnice, FMA",6,Mgr. Michaela Pitterová,2005-01-01,22348654.0,50.0918364,14.4447203,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2502
"SOUKROMÁ STŘEDNÍ UMĚLECKÁ ŠKOLA DESIGNU, s.r.o.",Soukr.střední umělecká škola designu,011233354,48589373,C00,Střední škola,Hlavní město Praha,CZ0106,Praha,Žalanského 68,16300,100.0,70,skoladesign@skoladesign.cz,,,,5,MgA. Zbyněk Linhart,2005-01-01,22244077.0,50.0685008,14.2949151,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2503
Základní škola Pošembeří,Základní škola Pošembeří,181135931,19323174,B00,Základní škola,Středočeský kraj,Kolín,Český Brod,Žitomířská 1144,28201,99.0,69,reditelka@zsposemberi.info,,,Dobrovolný svazek obcí Český Brod - Doubravčice,2,"Mgr. Alena Strnadová, pověřena řízením",2023-04-25,14490145.0,50.0756605,14.851688,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2504
Základní škola a Mateřská škola Citadela o.p.s.,ZŠ a MŠ Citadela o.p.s.,181135850,22845631,B00,Základní škola,Středočeský kraj,Mělník,Kojetice,Ke kněžihorce 268,25072,130.0,91,jan.janyska@skolacitadela.cz,,,,5,Mgr. Kamila Janyšková,2023-04-19,27705951.0,50.2361338,14.4955638,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2505
Základní škola a Mateřská škola Baltimore z. ú.,ZŠ a MŠ Baltimore z. ú.,181135272,17588995,B00,Základní škola,Středočeský kraj,Beroun,Beroun,Švýcarská 2124,26601,120.0,84,aneta@zsbaltimore.cz,,,,5,Mgr. Lucie Šrámková,2023-03-28,85895113.0,49.9582682,14.0745127,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2506
"Základní škola a Střední škola Karla Herforta, Praha 1, Josefská 4","ZŠ a SŠ K.Herforta, Praha 1, Josefská 4",060436107,60436107,B00,Základní škola,Hlavní město Praha,CZ0101,Praha,Josefská 641,11800,90.0,62,skola@herfort.cz,,,Hlavní město Praha,7,Mgr. Petra Haladová,2005-01-01,78982456.0,50.0880174,14.4057385,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2507
"Základní škola a Mateřská škola V Zahrádkách, Roztoky",Základní škola a MŠ V Zahrádkách,102638331,70988196,B00,Základní škola,Středočeský kraj,Rakovník,Roztoky,None 230,27023,100.0,70,zsroztoky@iol.cz,,,Obec Roztoky,2,Mgr. Libuše Bulantová,2005-01-01,8592314.0,50.1608299,14.3824148,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2508
"Základní škola a mateřská škola Slabce, okres Rakovník",Základní škola a mateřská škola,102602379,47013222,B00,Základní škola,Středočeský kraj,Rakovník,Slabce,None 42,27041,200.0,140,honzahula@seznam.cz,,,Obec Slabce,2,Mgr. Jan Hůla,2005-01-01,8611009.0,49.9996689,13.7126135,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2509
"Základní škola a mateřská škola Pavlíkov, okres Rakovník",Základní škola a mateřská škola,102602018,71006583,B00,Základní škola,Středočeský kraj,Rakovník,Pavlíkov,None 77,27021,75.0,52,zspavlikov@iol.cz,,,Městys Pavlíkov,2,Mgr. Petr Šiler,2005-01-01,16471831.0,50.0559879,13.7363604,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2510
"Soukromá střední odborná škola START, s.r.o.",Soukromá SOŠ  START s.r.o.,108001547,63672359,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Dygrýnova 1006,19800,180.0,125,reditelka@sos-start.cz,,,,5,Mgr. Jana Novotná,2005-01-01,22693190.0,50.1042577,14.569515,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2511
"Základní škola a Mateřská škola Hvožďany, okres Příbram, příspěvková organizace",Základní škola a Mateřská škola,114001421,75033275,B00,Základní škola,Středočeský kraj,Příbram,Hvožďany,None 2,26244,150.0,105,zsmshvozdany@volny.cz,,,Obec Hvožďany,2,Mgr. Ivana Juračková,2005-01-01,16394402.0,49.5284064,13.8055896,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2512
"Základní škola a Mateřská škola Kounov, okres Rakovník",Základní škola a Mateřská škola,102602077,47016922,B00,Základní škola,Středočeský kraj,Rakovník,Kounov,None 196,27006,200.0,140,podatelna@zskounov.cz,,,Obec Kounov,2,Ing. Lenka Krejcarová,2005-01-01,8550603.0,50.2128726,13.6750935,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2513
"Základní škola Hořovice, příspěvková organizace",Základní škola,002050960,70846375,B00,Základní škola,Středočeský kraj,Beroun,Hořovice,Svatopluka Čecha 455,26801,95.0,66,spec.skoly.horovice@quick.cz,,,Středočeský kraj,7,Mgr. Marie Chadrabová,2005-01-01,1629620.0,49.8339091,13.9012866,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2514
"Základní škola a mateřská škola Líšnice, okres Praha - západ",Základní škola a mateřská škola,000241440,45845085,B00,Základní škola,Středočeský kraj,Praha-západ,Líšnice,None 244,25210,100.0,70,zslisnice@zslisnice.cz,,,Obec Líšnice,2,Mgr. Alena Fialová,2005-01-01,78958318.0,49.8891523,14.3184732,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2515
Základní škola a střední škola waldorfská,ZŠ a střední škola waldorfská,110032675,70922306,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,Křejpského 1501,14900,126.0,88,info@waldorfska.cz,,,Hlavní město Praha,7,Mgr. Magdaléna Vančatová Spáčilová,2005-01-01,21840547.0,50.028164,14.5162022,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2516
Základní škola a Mateřská škola Tehov,Základní škola a Mateřská škola,108003621,75034182,B00,Základní škola,Středočeský kraj,Praha-východ,Tehov,Svatojánská náves 78,25101,110.0,77,zstehov@seznam.cz,,,Obec Tehov,2,Mgr. Radana Šimčíková,2005-01-01,14593963.0,49.9704851,14.69352,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2517
"Základní škola a Praktická škola, Český Brod, Žitomířská 1359",Základní škola a Praktická škola,002174791,70829489,B00,Základní škola,Středočeský kraj,Kolín,Český Brod,Žitomířská 1359,28201,95.0,66,snajdrovamarie@seznam.cz,,,Středočeský kraj,7,Mgr. Marie Šnajdrová,2005-01-01,25445774.0,50.0738551,14.853387,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2518
Základní škola a gymnázium Leonardo V. Academy,ZŠ a Gymnázium Leonardo V. Academy,181128331,17129648,C00,Střední škola,Hlavní město Praha,CZ0101,Praha,Dlouhá 713,11000,180.0,125,info@lvacademy.cz,,,Renesanční spolek pro vzdělání při Leonardo V. Academy z.s.,5,Mgr. Věra Komárová,2022-04-21,21723567.0,50.0902997,14.425341,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2519
"Základní škola a Mateřská škola Jeneč, příspěvková organizace",Základní škola a Mateřská škola,000241300,71008420,B00,Základní škola,Středočeský kraj,Praha-západ,Jeneč,Lidická 265,25261,120.0,84,skola@skola-jenec.cz,,,Obec Jeneč,2,Martina Frouzová,2005-01-01,12772411.0,50.0885188,14.2142538,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2520
"Základní škola a Mateřská škola Dolní Hbity, okres Příbram",Základní škola a Mateřská škola,114001405,71006575,B00,Základní škola,Středočeský kraj,Příbram,Dolní Hbity,None 44,26262,180.0,125,reditelskoly.zsdolnihbity@seznam.cz,,,Obec Dolní Hbity,2,Mgr. Ondřej Buralt,2005-01-01,22851356.0,49.6572277,14.170248,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2521
"Základní škola Mochov, okres Praha - východ",Základní škola,102438099,75031205,B00,Základní škola,Středočeský kraj,Praha-východ,Mochov,Na Dolejšku 287,25087,80.0,56,zs.mochov@seznam.cz,,,Obec Mochov,2,Mgr. Andrea Koubíková,2005-01-01,14557878.0,50.142265,14.7981525,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2522
"Základní škola a Mateřská škola Chrášťany, okres Praha - západ",Základní škola a Mateřská škola,000241288,86594265,B00,Základní škola,Středočeský kraj,Praha-západ,Chrášťany,Plzeňská 250,25219,140.0,98,reditelka@skola-chrastany.cz,,,Obec Chrášťany,2,Mgr. Jana Báčová,2005-01-01,81007191.0,50.0467378,14.2623751,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2523
"Základní škola při Psychiatrické nemocnici Bohnice, Praha 8, Ústavní 91",ZŠ při Psychiatrické nemocnici Bohnice,110000803,70828083,B00,Základní škola,Hlavní město Praha,CZ0108,Praha,Poznaňská 830,18100,114.0,79,skola@zsbohnice.cz,,,Hlavní město Praha,7,Mgr. Květa Cinglová,2005-01-01,26061104.0,50.1294236,14.4193004,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2524
"Mateřská škola a Základní škola, Praha 9, Bártlova 83",Mateřská škola a Základní škola,102301891,70848572,B00,Základní škola,Hlavní město Praha,CZ0109,Praha,Litvínovská 300,19000,138.0,96,reditel@skolabartlova.cz,,,Hlavní město Praha,7,Mgr. Pavlína Čuřínová,2005-01-01,22516034.0,50.1219545,14.4861714,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2525
"Základní škola a Mateřská škola LetMo, školská právnická osoba",Základní škola a Mateřská škola LetMo,181127512,71005811,B00,Základní škola,Středočeský kraj,Praha-západ,Lety,Karlštejnská 571,25229,150.0,105,kancelar@skolalety.cz,,,Svazková škola LetMo,2,Mgr. Eva Nolčová,2022-03-01,82384673.0,49.9227158,14.2490052,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2526
"Základní škola a mateřská škola Husinec - Řež, příspěvková organizace",Základní škola a mateřská škola,102438030,70991073,B00,Základní škola,Středočeský kraj,Praha-východ,Husinec,Ke Škole 17,25068,140.0,98,zs@husinecrez.cz,,,Obec Husinec,2,Mgr. Bc. Lucie Dražilová,2005-01-01,12641995.0,50.1701563,14.363755,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2527
Základní škola a Mateřská škola Sluhy,Základní škola a Mateřská škola,102438153,70990883,B00,Základní škola,Středočeský kraj,Praha-východ,Sluhy,None 29,25063,150.0,105,reditel@zsmssluhy.cz,,,Obec Sluhy,2,Mgr. Petra Plačková,2005-01-01,12681229.0,50.1924353,14.5576742,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2528
"Střední škola, Základní škola a Mateřská škola, Praha 10, Chotouňská 476","Střední škola, ZŠ a MŠ",102337993,70835578,B00,Základní škola,Hlavní město Praha,CZ010A,Praha,Chotouňská 476,10800,115.0,80,sps.chotounska@zris.mepnet.cz,,,Hlavní město Praha,7,Mgr. Matěj Palatý,2005-01-01,22590536.0,50.0836602,14.4964202,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2529
"Základní škola a Mateřská škola Čisovice, okres Praha - západ",Základní škola a Mateřská škola,000241148,70995061,B00,Základní škola,Středočeský kraj,Praha-západ,Čisovice,None 193,25204,125.0,87,zs.cisovice@centrum.cz,,,Obec Čisovice,2,Mgr. Lenka Hejnicová,2005-01-01,6261175.0,49.8633475,14.3143596,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2530
"Základní škola a Praktická škola Slaný, příspěvková organizace",Základní škola a Praktická škola,102114013,61894630,B00,Základní škola,Středočeský kraj,Kladno,Slaný,Palackého 570,27401,106.0,74,skola@zs-palackeho.cz,,,Středočeský kraj,7,Mgr. Vladimíra Mašková,2005-01-01,6038280.0,50.2321617,14.0839373,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2531
"Základní škola, Praha 10, Práčská 37",Základní škola,102349070,70835632,B00,Základní škola,Hlavní město Praha,CZ010A,Praha,Práčská 159,10600,95.0,66,jaroslava.ruzickova@zs-pracska.cz,,,Hlavní město Praha,7,Mgr. Jaroslava Růžičková,2005-01-01,22673831.0,50.0533621,14.500709,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2532
Základní škola a gymnázium Leonardo V. Academy,ZŠ a Gymnázium Leonardo V. Academy,181128322,17129648,B00,Základní škola,Hlavní město Praha,CZ0101,Praha,Dlouhá 713,11000,165.0,115,info@lvacademy.cz,,,Renesanční spolek pro vzdělání při Leonardo V. Academy z.s.,5,Mgr. Věra Komárová,2022-04-21,21723567.0,50.0902997,14.425341,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2533
"Základní škola, mateřská škola a základní umělecká škola Hnízdo v Úněticích","ZŠ, MŠ a ZUŠ Hnízdo",181077418,75034573,B00,Základní škola,Středočeský kraj,Praha-západ,Únětice,Školní 2,25262,110.0,77,hnizdo@skolaunetice.cz,,,Obec Únětice,2,Mgr. Bc. Martina Hovorková,2016-02-15,6397735.0,50.1514175,14.3527688,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2534
"Základní škola a Mateřská škola Úhonice, okres Praha - západ",Základní škola a Mateřská škola,000235059,70987254,B00,Základní škola,Středočeský kraj,Praha-západ,Úhonice,Kateřinská 43,25218,140.0,98,reditelka@zsuhonice.cz,,,Obec Úhonice,2,Mgr. Jana Vlčková,2005-01-01,6498264.0,50.0412781,14.186546,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2535
"Základní škola a Mateřská škola Tachlovice, příspěvková organizace",Základní škola a Mateřská škola,000233871,61385051,B00,Základní škola,Středočeský kraj,Praha-západ,Tachlovice,Toskánská náves 66,25217,100.0,70,janikova@skolatachlovice.cz,,,Obec Tachlovice,2,Mgr. Miroslava Janíková,2005-01-01,6389201.0,50.0113475,14.2456688,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2536
Církevní základní škola logopedická Don Bosco a mateřská škola logopedická,Círk.ZŠ logoped. Don Bosco a MŠ logoped.,102401420,45770301,B00,Základní škola,Hlavní město Praha,CZ0108,Praha,Lešenská 548,18100,150.0,105,info@donbosco.cz,,,Arcibiskupství pražské,6,Mgr. Daniela Špinková,2005-01-01,22398791.0,50.127343,14.4235986,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2537
Základní škola a mateřská škola Kamenný Přívoz,Základní škola a mateřská škola,000241351,70988064,B00,Základní škola,Středočeský kraj,Praha-západ,Kamenný Přívoz,None 53,25282,80.0,56,reditelka@zsmskp.cz,,,Obec Kamenný Přívoz,2,Mgr. Bc. Jana Kozlová,2005-01-01,12785377.0,49.8628658,14.5032485,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2538
"Základní škola a Střední škola, Praha 10, Vachkova 941",Základní škola a Střední škola,047607882,61385450,B00,Základní škola,Hlavní město Praha,CZ010A,Praha,Vachkova 941,10400,85.0,59,reditel@zsassvachkova.cz,,,Hlavní město Praha,7,PaedDr. Petr Ptáček,2005-01-01,22649794.0,50.0363343,14.595013,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2539
"Základní škola Zvole, příspěvková organizace",Základní škola,000241890,71007903,B00,Základní škola,Středočeský kraj,Praha-západ,Zvole,J. Štulíka 13,25245,160.0,112,zszvole@seznam.cz,,,Obec Zvole,2,Mgr. Marcela Sasková,2005-01-01,72368896.0,49.9331225,14.4178713,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2540
"Základní škola, Rudná, 5. května 583",Základní škola,102486531,49855263,B00,Základní škola,Středočeský kraj,Praha-západ,Rudná,5. května 583,25219,80.0,56,info@zsrudna5kvetna.cz,,,Město Rudná,2,Mgr. Alena Janoušková,2005-01-01,6348998.0,50.0256688,14.2122,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2541
"Základní škola Mirošovice, okres Praha - východ",Základní škola,102438081,71004734,B00,Základní škola,Středočeský kraj,Praha-východ,Mirošovice,Školní 211,25166,100.0,70,skola.mirosovice@seznam.cz,,,Obec Mirošovice,2,Mgr. Dagmar Pilousová,2005-01-01,12662038.0,49.9111888,14.7164888,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2542
"Základní škola, Vlašim, Březinská 1702",Základní škola,102002878,70846685,B00,Základní škola,Středočeský kraj,Benešov,Vlašim,Březinská 1702,25801,100.0,70,zsvlasim.brezinska@seznam.cz,,,Středočeský kraj,7,Mgr. Marie Míková,2005-01-01,14436345.0,49.7101688,14.8935238,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2543
"Základní škola, Praha 6, U Boroviček 3",ZŠ pro žáky se specif. poruchami učení,110350260,68379919,B00,Základní škola,Hlavní město Praha,CZ0106,Praha,U boroviček 648,16300,144.0,100,reditelka@borovicky.cz,,,Hlavní město Praha,7,Mgr. Karin Houdová,2005-01-01,22249524.0,50.0745424,14.3249774,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2544
Základní škola a Mateřská škola při Nemocnici Na Bulovce,ZŠ a MŠ při Nemocnici Na Bulovce,102261466,63830795,B00,Základní škola,Hlavní město Praha,CZ0108,Praha,Budínova 67,18000,144.0,100,info@skolabulovka.cz,,,Hlavní město Praha,7,Mgr. Bc. Radislava Jiřičková,2005-01-01,22375732.0,50.1154949,14.4643266,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2545
Základní škola a Mateřská škola Lázně Toušeň,Základní škola a Mateřská škola,102438200,71001506,B00,Základní škola,Středočeský kraj,Praha-východ,Lázně Toušeň,Hlavní 74,25089,120.0,84,sekretariat.zstousen@seznam.cz,,,Městys Lázně Toušeň,2,Mgr. Daniela Švejdová,2005-01-01,12685941.0,50.1693063,14.7156788,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2546
"Základní škola a Mateřská škola Senohraby, okres Praha - východ, příspěvková organizace",Základní škola a Mateřská škola,102438137,75033593,B00,Základní škola,Středočeský kraj,Praha-východ,Senohraby,Školní 27,25166,122.0,85,skola@zssenohraby.cz,,,Obec Senohraby,2,Mgr. Šárka Hájková Heřmánková,2005-01-01,17247284.0,49.8951263,14.7219674,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2547
"Základní škola Kostelec u Křížků, okres Praha - východ",Základní škola,102438072,75031663,B00,Základní škola,Středočeský kraj,Praha-východ,Kostelec u Křížků,None 48,25168,120.0,84,zskostelecukrizku@seznam.cz,,,Obec Kostelec u Křížků,2,Mgr. Eva Březnová,2005-01-01,12646041.0,49.90702,14.5572275,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2548
"Základní škola a Mateřská škola Slapy, okres Praha - západ",Základní škola a Mateřská škola,000241652,71006656,B00,Základní škola,Středočeský kraj,Praha-západ,Slapy,None 50,25208,145.0,101,reditel@zsamsslapy.cz,,,Obec Slapy,2,PhDr. Martina Vávrová,2005-01-01,6371591.0,49.8153083,14.3961185,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2549
"ScioŠkola Kolín - základní škola, s.r.o.","ScioŠkola Kolín - základní škola, s.r.o.",181127318,14378418,B00,Základní škola,Středočeský kraj,Kolín,Kolín,Ovčárecká 312,28002,205.0,143,scioskoly@scio.cz,,,,5,Mgr. Eva Svobodová,2022-02-11,21179701.0,50.040496,15.210021,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2550
Základní škola a mateřská škola Zlatníky - Hodkovice,Základní škola a mateřská škola,000241873,70996610,B00,Základní škola,Středočeský kraj,Praha-západ,Zlatníky-Hodkovice,Náves sv. Petra a Pavla 41,25241,106.0,74,info@zlataskola.cz,,,Obec Zlatníky - Hodkovice,2,Mgr. Iveta Truhlářová,2005-01-01,6404839.0,49.9587551,14.4806588,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2551
Svazková základní škola Povýmolí,Svazková základní škola Povýmolí,181127032,14316773,B00,Základní škola,Středočeský kraj,Praha-východ,Jirny,Brandýská 45,25090,150.0,105,horska@zspovymoli.cz,,,Dobrovolný svazek obcí Povýmolí,2,Mgr. Michaela Nilsson Marečková,2022-02-02,14507773.0,50.114581,14.6986708,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2552
"Základní škola a Dětský domov Sedlec - Prčice, Přestavlky 1, příspěvková organizace",Základní škola a Dětský domov,102014116,70843538,B00,Základní škola,Středočeský kraj,Příbram,Sedlec-Prčice,Vítkovo nám. 93,25791,84.0,58,skola.prestavlky@tiscali.cz,,,Středočeský kraj,7,Mgr. Martina Musilová,2005-01-01,14404125.0,49.5773964,14.5393796,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2553
Základní škola a mateřská škola Čestlice,Základní škola a mateřská škola,102438005,70991685,B00,Základní škola,Středočeský kraj,Praha-východ,Čestlice,Na Návsi 3,25101,200.0,140,zakladni@skolacestlice.cz,,,Obec Čestlice,2,Mgr. Petr Svoboda,2005-01-01,17574960.0,50.0022451,14.5834088,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2554
"Soukromá mateřská škola, základní škola a střední škola Slunce, o.p.s.","Soukromá MŠ, ZŠ a SŠ Slunce, o.p.s.",110450060,25712853,B00,Základní škola,Středočeský kraj,Kladno,Stochov,Hornická 410,27303,76.0,53,skola@slunce.info,,,,5,Mgr. Jakub Dvořák,2005-01-01,11356421.0,50.1456963,13.9528063,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2555
Gymnázium ARTION,Gymnázium ARTION,181128047,14424991,C00,Střední škola,Hlavní město Praha,CZ0101,Praha,Václavské náměstí 804,11000,110.0,77,lisnerova@post.cz,,,"PhDr. Romana Lisnerová, Ph.D.",5,"PhDr. Romana Lisnerová, Ph.D.",2022-03-29,21706115.0,50.0798408,14.4289884,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2556
"Základní škola a Mateřská škola Tuchoměřice, okres Praha - západ, příspěvková organizace",Základní škola a Mateřská škola,000241750,70995109,B00,Základní škola,Středočeský kraj,Praha-západ,Tuchoměřice,Školní 70,25267,98.0,68,ucitel@zstuchomerice.cz,,,Obec Tuchoměřice,2,Mgr. Andrea Kuchtová,2005-01-01,6600751.0,50.1358884,14.2823337,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2557
"Základní škola J. Š. Baara v Ořechu, příspěvková organizace",Základní škola J. Š. Baara,000241512,75034948,B00,Základní škola,Středočeský kraj,Praha-západ,Ořech,Karlštejnská 54,25225,100.0,70,zsorech@zsorech.cz,,,Obec Ořech,2,Mgr. Simona Šefránková,2005-01-01,6581994.0,50.0195663,14.2959038,0,0.5,False,,0,42.5,0.0,7.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,B,2558
