rank,nazev,obec,okres,kraj,pocet_zaku,email,telefon,web,score_total,priorita,pristup,pristup_label,dotace_had,dotace_last_year,score_dotace,score_size,score_vz_gap,score_region,score_competition
219,"Základní škola, Grünwaldova 13, České Budějovice",České Budějovice,České Budějovice,Jihočeský kraj,510,reditel@zsgrunwaldova.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
220,"Střední průmyslová škola strojní a stavební, Tábor, Komenského 1670",Tábor,Tábor,Jihočeský kraj,641,info@sps-tabor.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
221,Euroškola Strakonice střední odborná škola s.r.o.,Strakonice,Strakonice,Jihočeský kraj,518,info@euroskolastrakonice.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
222,"Základní škola Týn nad Vltavou, Hlinecká",Týn nad Vltavou,České Budějovice,Jihočeský kraj,560,zshlinecka@volny.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
223,"Základní škola, České Budějovice, Oskara Nedbala 30",České Budějovice,České Budějovice,Jihočeský kraj,630,zsonedbala@volny.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
224,"Základní škola T. G. Masaryka a Mateřská škola Písek, Čelakovského 24",Písek,Písek,Jihočeský kraj,588,jiri.kothanek@tgmpisek.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
225,"Základní škola, Dukelská 11, České Budějovice",České Budějovice,České Budějovice,Jihočeský kraj,560,ruzena.koubova@zsdukelska.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
226,"Základní škola Volary, příspěvková organizace",Volary,Prachatice,Jihočeský kraj,525,reditel@zsvolary.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
227,"Základní škola Edvarda Beneše a Mateřská škola Písek, Mírové nám. 1466",Písek,Písek,Jihočeský kraj,577,reditel@zsebenese.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
228,Základní škola a Gymnázium Vodňany,Vodňany,Strakonice,Jihočeský kraj,693,info@zsgvodnany.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
229,"Gymnázium, Písek, Komenského 89",Písek,Písek,Jihočeský kraj,510,info@gymna-pi.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
230,"Obchodní akademie, Střední odborná škola a Střední odborné učiliště, Třeboň, Vrchlického 567",Třeboň,Jindřichův Hradec,Jihočeský kraj,616,pkaninsky@sostrebon.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
231,"Střední zdravotnická škola a Vyšší odborná škola zdravotnická, České Budějovice, Husova 3",České Budějovice,České Budějovice,Jihočeský kraj,553,skola@szscb.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
232,"Střední odborná škola a Střední odborné učiliště, Jindřichův Hradec, Jáchymova 478",Jindřichův Hradec,Jindřichův Hradec,Jihočeský kraj,532,sos-jh@sos-jh.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
233,"Základní škola Třeboň, Na Sadech 375",Třeboň,Jindřichův Hradec,Jihočeský kraj,525,info@zstrebon.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
234,"Základní škola Protivín, se sídlem 398 11 Protivín, Komenského 238",Protivín,Písek,Jihočeský kraj,546,kancelar@zsprotivin.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
235,"Základní škola Jana Husa a Mateřská škola Písek, Husovo nám. 725",Písek,Písek,Jihočeský kraj,560,info@zsjanahusa.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
236,"Základní škola Kaplice, Fantova 446",Kaplice,Český Krumlov,Jihočeský kraj,560,fantovka@fantovka.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
237,"Základní škola Tábor, Zborovská 2696",Tábor,Tábor,Jihočeský kraj,686,zstabor@seznam.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
238,"Základní škola a Mateřská škola Tábor, Husova 1570",Tábor,Tábor,Jihočeský kraj,672,zshusovata@seznam.cz,,,56.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,13.5,5.0
