nazev,nazev_zkrac,izo,ico,druh,druh_nazev,kraj,okres,obec,ulice,psc,kapacita,pocet_zaku,email,telefon,web,zrizovatel,zrizovatel_typ,reditel,datum_vzniku,rúian
"Základní škola Hnátnice, okres Ústí nad Orlicí",Základní škola,102642478,70984913,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Hnátnice,None 253,56101,60.0,42,zs.hnatni@tiscali.cz,,,Obec Hnátnice,2,Mgr. Jana Hofrichterová,2005-01-01,17968801.0
"Základní škola a mateřská škola Sopotnice, příspěvková organizace",Základní škola a mateřská škola,102642541,71004467,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Sopotnice,None 225,56115,190.0,133,reditel.zssopotnice@seznam.cz,,,Obec Sopotnice,2,Mgr. Helena Korábová,2005-01-01,5649331.0
"Základní škola Ústí nad Orlicí, Komenského 11",Základní škola,102642567,75018365,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Ústí nad Orlicí,Komenského 11,56201,630.0,441,zskome.uo@uokome.cz,,,Město Ústí nad Orlicí,2,Mgr. Bc. Radek Škarka,2005-01-01,24735931.0
"Základní škola Ústí nad Orlicí, Bratří Čapků 1332",Základní škola,102642583,75018446,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Ústí nad Orlicí,Bratří Čapků 1332,56206,675.0,472,skola@zsbcuo.cz,,,Město Ústí nad Orlicí,2,Mgr. Martin Falta,2005-01-01,24748749.0
"Základní škola Ústí nad Orlicí, Třebovská 147",Základní škola,102642591,75018527,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Ústí nad Orlicí,Třebovská 147,56203,533.0,373,zstrebovska.uo@wo.cz,,,Město Ústí nad Orlicí,2,Mgr. Pavel Svatoš,2005-01-01,24728209.0
"Základní škola Lanškroun, náměstí Aloise Jiráska 139, okr. Ústí nad Orlicí",Základní škola,102642796,61234001,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Lanškroun,nám. J. M. Marků 80,56301,525.0,367,reditelka@zsaj.cz,,,Město Lanškroun,2,Mgr. Monika Dušková,2005-01-01,18111548.0
"Základní škola Žamberk, Nádražní 743","Základní škola Žamberk, Nádražní 743",102642893,70995460,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Žamberk,Nádražní 743,56401,603.0,422,reditelstvi@zszamberk.cz,,,Město Žamberk,2,Mgr. Alena Fišerová,2005-01-01,18120610.0
"Základní škola a mateřská škola Vincence Junka, Dolní Čermná","ZŠ a MŠ Vincence Junka, Dolní Čermná",102642958,70996806,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Dolní Čermná,None 4,56153,250.0,175,zs@dolni-cermna.cz,,,Městys Dolní Čermná,2,Mgr. Jitka Beranová,2005-01-01,17947642.0
"Základní škola Dolní Dobrouč, okres Ústí nad Orlicí",Základní škola,102642974,75016214,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Dolní Dobrouč,None 423,56102,400.0,280,reditel@zsdobrouc.cz,,,Obec Dolní Dobrouč,2,Mgr. Luděk Jansa,2005-01-01,17955921.0
Základní škola Sloupnice,Základní škola Sloupnice,102642982,61235059,B00,Základní škola,Pardubický kraj,Svitavy,Sloupnice,None 14,56553,220.0,154,zs.sloupnice@worldonline.cz,,,Obec Sloupnice,2,Mgr. Václav Sychra,2005-01-01,17972205.0
Základní škola a mateřská škola Libchavy,Základní škola a mateřská škola Libchavy,102642991,75017890,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Libchavy,None 153,56116,250.0,175,skola@zslibchavy.cz,,,Obec Libchavy,2,Mgr. Veronika Vaňousová,2005-01-01,5627648.0
"Základní škola, Horní Čermná, okres Ústí nad Orlicí","ZŠ, Horní Čermná, okres Ústí nad Orlicí",102654000,70990221,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Horní Čermná,None 128,56156,270.0,189,reditel@zshornicermna.cz,,,Obec Horní Čermná,2,Mgr. Jana Beranová,2005-01-01,5638747.0
Základní škola a Mateřská škola Řetová,Základní škola a Mateřská škola Řetová,102654042,70972150,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Řetová,None 162,56141,100.0,70,jidelna@zsretova.cz; druzina@zsretova.cz,,,Obec Řetová,2,Mgr. Renata Jarošová,2005-01-01,18059562.0
"Základní škola Jindřicha Pravečka, Výprachtice, okres Ústí nad Orlicí",Základní škola Jindřicha Pravečka,102654093,70991715,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Výprachtice,None 390,56134,245.0,171,zs.vypr@email.cz,,,Obec Výprachtice,2,Mgr. Romana Prokopová,2005-01-01,18095534.0
Základní škola a mateřská škola Damníkov,Základní škola a mateřská škola Damníkov,102718971,75017164,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Damníkov,None 25,56123,190.0,133,zsdamn@seznam.cz,,,Obec Damníkov,2,Mgr. Dagmar Radošová,2005-01-01,17942276.0
"Základní škola a Mateřská škola Dobříkov, okres Ústí nad Orlicí","ZŠ a MŠ Dobříkov, okres Ústí nad Orlicí",108031225,70985367,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Dobříkov,None 89,56601,55.0,38,zs.dobrikov@seznam.cz,,,Obec Dobříkov,2,Mgr. Věra Paličková,2005-01-01,5658527.0
"Základní škola Velká Skrovnice, okres Ústí nad Orlicí",Základní škola Velká Skrovnice,108041697,70983054,B00,Základní škola,Pardubický kraj,Ústí nad Orlicí,Velká Skrovnice,None 80,56201,25.0,17,skola.skrov@seznam.cz,,,Obec Velká Skrovnice,2,"Bc. Anna Glacová, dipl. um.",2005-01-01,5652251.0
"Základní škola a Mateřská škola Ráječko, okres Blansko, příspěvková organizace",Základní škola a Mateřská škola,102007161,62073303,B00,Základní škola,Jihomoravský kraj,Blansko,Ráječko,Dlouhá 279,67902,90.0,62,skola@rajecko.cz,,,Obec Ráječko,2,Mgr. Romana Dočekalová,2005-01-01,7886101.0
"Základní škola Letovice, příspěvková organizace",Základní škola,102007616,62072897,B00,Základní škola,Jihomoravský kraj,Blansko,Letovice,Tyršova 1069,67961,950.0,665,skola@zsletovice.cz,,,Město Letovice,2,Mgr. Vítězslav Šos,2005-01-01,2035511.0
Základní škola Brumov,Základní škola,102007021,62072692,B00,Základní škola,Jihomoravský kraj,Brno-venkov,Brumov,None 51,67923,35.0,24,zsbrumov@seznam.cz,,,Obec Brumov,2,Mgr. Kateřina Parfusová,2005-01-01,1936620.0
"Základní škola Bukovina, okres Blansko",Základní škola,102007047,75023458,B00,Základní škola,Jihomoravský kraj,Blansko,Bukovina,None 66,67905,74.0,51,zs.bukovina@seznam.cz,,,Obec Bukovina,2,Mgr. Jana Havelková,2005-01-01,1940058.0
"Základní škola Černovice, okres Blansko",Základní škola,102007071,62073214,B00,Základní škola,Jihomoravský kraj,Blansko,Černovice,None 97,67975,90.0,62,zscernovice@email.cz,,,Obec Černovice,2,Mgr. Pavla Davidová,2005-01-01,2006260.0
"Základní škola a Mateřská škola Deštná, příspěvková organizace",Základní škola a Mateřská škola,102007080,70299706,B00,Základní škola,Jihomoravský kraj,Blansko,Deštná,None 60,67961,50.0,35,skola@zsamsdestna.cz,,,Obec Deštná,2,Ing. et  Mgr. Božena Nečasová,2005-01-01,7813040.0
"Základní škola a Mateřská škola Drnovice, okres Blansko",Základní škola a Mateřská škola,102007101,70873861,B00,Základní škola,Jihomoravský kraj,Blansko,Drnovice,None 42,67976,120.0,84,reditelka@skola.drnovice.cz,,,Obec Drnovice,2,Mgr. Kateřina Jančíková,2005-01-01,7818203.0
"Základní škola a Mateřská škola Kotvrdovice, příspěvková organizace",Základní škola a Mateřská škola,102007136,75023741,B00,Základní škola,Jihomoravský kraj,Blansko,Kotvrdovice,None 124,67907,60.0,42,reditel@zskotvrdovice.cz,,,Obec Kotvrdovice,2,Mgr. Veronika Zavadilová,2005-01-01,1953486.0
"Základní škola a Mateřská škola Olomučany, okres Blansko, příspěvková organizace",Základní škola a Mateřská škola,102007152,71001727,B00,Základní škola,Jihomoravský kraj,Blansko,Olomučany,None 10,67903,80.0,56,zs.olomucany@atlas.cz,,,Obec Olomučany,2,Mgr. Jiří Pukl,2005-01-01,7866143.0
"Základní škola Rozseč nad Kunštátem, okres Blansko",Základní škola,102007209,70985073,B00,Základní škola,Jihomoravský kraj,Blansko,Rozseč nad Kunštátem,None 2,67973,50.0,35,reditel@zsrnk.cz,,,Obec Rozseč nad Kunštátem,2,Mgr. Jitka Petrželková,2005-01-01,2037521.0
"Základní škola a Mateřská škola Hugo Sáňky, Rudice, okres Blansko",ZŠ a MŠ Hugo Sáňky,102007217,68685718,B00,Základní škola,Jihomoravský kraj,Blansko,Rudice,None 115,67906,70.0,49,zsrudice@seznam.cz,,,Obec Rudice,2,Mgr. Lenka Klaibová,2005-01-01,1978187.0
"Základní škola a Mateřská škola, Sebranice, okres Blansko, příspěvková organizace",Základní škola a Mateřská škola,102007225,75022443,B00,Základní škola,Jihomoravský kraj,Blansko,Sebranice,None 133,67931,60.0,42,reditel.sebranice@seznam.cz,,,Obec Sebranice,2,Mgr. Lucie Přichystalová,2005-01-01,7889763.0
"Základní škola a Mateřská škola Skalice nad Svitavou, příspěvková organizace",Základní škola a Mateřská škola,102007233,70886270,B00,Základní škola,Jihomoravský kraj,Blansko,Skalice nad Svitavou,None 101,67901,60.0,42,skola@skalicenadsvitavou.cz,,,Obec Skalice nad Svitavou,2,Mgr. Michaela Barkerová Kopecká,2005-01-01,7893418.0
"Základní škola Sulíkov, příspěvková organizace",Základní škola,102007241,71001981,B00,Základní škola,Jihomoravský kraj,Blansko,Sulíkov,None 13,67962,60.0,42,skola@zssulikov.cz,,,Obec Sulíkov,2,Mgr. Petra Bednářová,2005-01-01,7896441.0
"Základní škola Šebetov, příspěvková organizace",Základní škola,102007268,62073419,B00,Základní škola,Jihomoravský kraj,Blansko,Šebetov,None 118,67935,60.0,42,zs.sebetov@seznam.cz,,,Obec Šebetov,2,Mgr. Petr Najbr,2005-01-01,1988085.0
"Základní škola a Mateřská škola Šebrov, okres Blansko, příspěvková organizace",Základní škola a Mateřská škola,102007276,71009787,B00,Základní škola,Jihomoravský kraj,Blansko,Šebrov-Kateřina,None 112,67922,60.0,42,zssebrov@seznam.cz,,,Obec Šebrov-Kateřina,2,Mgr. Jana Klozová,2005-01-01,1991361.0
"Základní škola a mateřská škola Úsobrno, okres Blansko, příspěvková organizace",Základní škola a mateřská škola,102007284,70982520,B00,Základní škola,Jihomoravský kraj,Blansko,Úsobrno,None 33,67939,60.0,42,zs.usobrno@seznam.cz,,,Obec Úsobrno,2,Bc. Marcela Holubová,2005-01-01,2039613.0
"Základní škola a mateřská škola Vanovice, okres Blansko, příspěvková organizace",Základní škola a mateřská škola,102007292,75023407,B00,Základní škola,Jihomoravský kraj,Blansko,Vanovice,None 130,67936,60.0,42,zs.vanovice@email.cz,,,Obec Vanovice,2,Mgr. Ivana Pfefrová,2005-01-01,2043092.0
"Základní škola a mateřská škola Vísky, okres Blansko, příspěvková organizace",Základní škola a mateřská škola,102007314,62073001,B00,Základní škola,Jihomoravský kraj,Blansko,Vísky,None 27,67933,60.0,42,skolavisky@email.cz,,,Obec Vísky,2,Mgr. Antonín Loukota,2005-01-01,2003678.0
"Základní škola Vysočany, okres Blansko",Základní škola,102007322,62073435,B00,Základní škola,Jihomoravský kraj,Blansko,Vysočany,None 42,67913,90.0,62,zs.vysocany@tiscali.cz,,,Obec Vysočany,2,Mgr. Iveta Kuchařová,2005-01-01,7915730.0
"Základní škola a Mateřská škola Bořitov, okres Blansko, příspěvková organizace",Základní škola a Mateřská škola,102007349,75021269,B00,Základní škola,Jihomoravský kraj,Blansko,Bořitov,Školní 125,67921,120.0,84,zs.boritov@seznam.cz,,,Obec Bořitov,2,PhDr. Šárka Hlavatá,2005-01-01,1933647.0
"Základní škola a Mateřská škola Žďárná, okres Blansko, příspěvková organizace",Základní škola a Mateřská škola,102007373,70996229,B00,Základní škola,Jihomoravský kraj,Blansko,Žďárná,None 217,67952,177.0,123,zs.zdarna@seznam.cz,,,Obec Žďárná,2,Mgr. Kateřina Trnečková,2005-01-01,1927701.0
"Základní škola a mateřská škola Adamov, příspěvková organizace",Základní škola a mateřská škola,102007381,65765907,B00,Základní škola,Jihomoravský kraj,Blansko,Adamov,Komenského 324,67904,750.0,525,zsadamov@adamov.cz,,,Město Adamov,2,Mgr. Stanislav Tůma,2005-01-01,7922591.0
"Základní škola a Mateřská škola Benešov, okres Blansko, příspěvková organizace",Základní škola a Mateřská škola,102007390,62077520,B00,Základní škola,Jihomoravský kraj,Blansko,Benešov,None 155,67953,200.0,140,reditel@zsbenesov.cz,,,Obec Benešov,2,Mgr. Lubomír Šín,2005-01-01,1931326.0
"Základní škola a Mateřská škola Blansko, Dvorská 26",Základní škola a Mateřská škola,102007403,49464205,B00,Základní škola,Jihomoravský kraj,Blansko,Blansko,Dvorská 1415,67801,720.0,503,skola@zsdvorska.com,,,Město Blansko,2,"Mgr. Bc. Dušan Krumnikl, MBA",2005-01-01,15234762.0
"Základní škola a Mateřská škola Blansko, Salmova 17",Základní škola a Mateřská škola,102007411,49464213,B00,Základní škola,Jihomoravský kraj,Blansko,Blansko,None 87,67801,725.0,507,info@zssalmova.cz,,,Město Blansko,2,Mgr. Lucie Košťálová,2005-01-01,15187951.0
"Základní škola Tomáše Garrigua Masaryka Blansko, Rodkovského 2",Základní škola T.G.M.,102007446,49463276,B00,Základní škola,Jihomoravský kraj,Blansko,Blansko,Rodkovského 822,67801,720.0,503,zstgm@zstgm.cz,,,Město Blansko,2,RNDr. Pavel Nezval,2005-01-01,15228983.0
"Základní škola Boskovice, nám. 9 května, příspěvková organizace",Základní škola,102007489,62072757,B00,Základní škola,Jihomoravský kraj,Blansko,Boskovice,náměstí 9. května 953,68001,610.0,427,zs@zsbce.cz,,,Město Boskovice,2,Mgr. Martin Staněk,2005-01-01,15267571.0
"Základní škola Černá Hora, příspěvková organizace",Základní škola,102007527,62073478,B00,Základní škola,Jihomoravský kraj,Blansko,Černá Hora,Strmá 308,67921,480.0,336,reditel@zscernahora.cz,,,Městys Černá Hora,2,Mgr. Jana Holcnerová,2005-01-01,7809522.0
"Základní škola Jedovnice, příspěvková organizace",Základní škola,102007535,62073095,B00,Základní škola,Jihomoravský kraj,Blansko,Jedovnice,Nad Rybníkem 401,67906,520.0,364,ekonom@zsjedovnice.cz,,,Městys Jedovnice,2,"Ing. Lenka Danielová, Ph.D.",2005-01-01,7828179.0
"Základní škola a Mateřská škola Knínice, příspěvková organizace",Základní škola a Mateřská škola,102007543,62073061,B00,Základní škola,Jihomoravský kraj,Blansko,Knínice,None 210,67934,270.0,189,info@zskninice.cz,,,Městys Knínice,2,RNDr. Bc. Jiří Rosenberg,2005-01-01,1949861.0
"Základní škola a Mateřská škola Křtiny, příspěvková organizace",Základní škola a Mateřská škola,102007551,62073290,B00,Základní škola,Jihomoravský kraj,Blansko,Křtiny,None 240,67905,280.0,196,zskrtiny@zskrtiny.cz,,,Městys Křtiny,2,Mgr. Olga Teremová,2005-01-01,25356577.0
"Základní škola a Mateřská škola Kunštát, příspěvková organizace",Základní škola a Mateřská škola,102007586,62073427,B00,Základní škola,Jihomoravský kraj,Blansko,Kunštát,Brněnská 471,67972,570.0,399,skola@zskunstat.cz,,,Město Kunštát,2,Mgr. Petr Řezníček,2005-01-01,26941627.0
"Základní škola a Mateřská škola Lipovec, okres Blansko, příspěvková organizace",Základní škola a Mateřská škola,102007624,71004165,B00,Základní škola,Jihomoravský kraj,Blansko,Lipovec,None 167,67915,330.0,230,zslipovec@email.cz,,,Obec Lipovec,2,Mgr. Josef Škvařil,2005-01-01,15197514.0
"Základní škola Lipůvka, příspěvková organizace",Základní škola,102007659,62073184,B00,Základní škola,Jihomoravský kraj,Blansko,Lipůvka,None 283,67922,390.0,273,marcelaantonovicova@seznam.cz,,,Obec Lipůvka,2,Mgr. Marcela Antonovičová,2005-01-01,1968254.0
"Základní škola, základní umělecká škola a mateřská škola Lomnice, příspěvková organizace","ZŠ, ZUŠ a MŠ Lomnice",102007667,62072951,B00,Základní škola,Jihomoravský kraj,Brno-venkov,Lomnice,Tišnovská 362,67923,390.0,273,reditel@zslomnice.cz,,,Městys Lomnice,2,"Mgr. Richard Mašek, DiS.",2005-01-01,15203107.0
Základní škola Edvarda Beneše Lysice,Základní škola Edvarda Beneše,102007691,47884941,B00,Základní škola,Jihomoravský kraj,Blansko,Lysice,Zákostelí 360,67971,550.0,385,kancelar@zslysice.cz,,,Městys Lysice,2,Mgr. Pavla Nesnídalová,2005-01-01,7853122.0
"Základní škola a mateřská škola města Olešnice, příspěvková organizace",Základní škola a mateřská škola,102007713,62073281,B00,Základní škola,Jihomoravský kraj,Blansko,Olešnice,Hliníky 108,67974,330.0,230,skola@olesnice.cz,,,Město Olešnice,2,PaedDr. Zdeněk Peša,2005-01-01,7860617.0
"Základní škola a Mateřská škola Ostrov u Macochy, příspěvková organizace",Základní škola a Mateřská škola,102007721,62073346,B00,Základní škola,Jihomoravský kraj,Blansko,Ostrov u Macochy,None 363,67914,250.0,175,zsostrovum@zsostrovum.cz,,,Městys Ostrov u Macochy,2,Mgr. Karel Hasoň,2005-01-01,2012031.0
"Základní škola a mateřská škola Rájec - Jestřebí, okres Blansko",Základní škola a mateřská škola,102007748,62073036,B00,Základní škola,Jihomoravský kraj,Blansko,Rájec-Jestřebí,Školní 446,67902,814.0,569,zs-rajec@zs-rajec.cz,,,Město Rájec - Jestřebí,2,Mgr. Jiří Koumar,2005-01-01,7880634.0
"Základní škola a mateřská škola Sloup, příspěvková organizace",Základní škola a mateřská škola,102007756,62075942,B00,Základní škola,Jihomoravský kraj,Blansko,Sloup,None 200,67913,600.0,420,zs.sloup@centrum.cz,,,Městys Sloup,2,Mgr. Pavel Dočekal,2005-01-01,1981901.0
"Základní škola Svitávka, okres Blansko, příspěvková organizace",Základní škola,102007799,70988617,B00,Základní škola,Jihomoravský kraj,Blansko,Svitávka,Komenského 157,67932,360.0,251,zssvitavka@seznam.cz,,,Městys Svitávka,2,Mgr. Radka Havelková,2005-01-01,7899564.0
"Základní škola Velké Opatovice, příspěvková organizace",Základní škola,102007802,62073591,B00,Základní škola,Jihomoravský kraj,Blansko,Velké Opatovice,Pod Strážnicí 499,67963,720.0,503,zsvop@zsvelkeopatovice.cz,,,Město Velké Opatovice,2,Mgr. Karin Petrželková,2005-01-01,7935889.0
"Základní škola Jabloňany, okres Blansko, příspěvková organizace",Základní škola,102108030,75024161,B00,Základní škola,Jihomoravský kraj,Blansko,Jabloňany,None 38,67901,40.0,28,zs.jablonany@seznam.cz,,,Obec Jabloňany,2,Mgr. Kateřina Ščudlová,2005-01-01,1946927.0
"Základní škola Nýrov, okres Blansko, příspěvková organizace",Základní škola,102108072,70994471,B00,Základní škola,Jihomoravský kraj,Blansko,Nýrov,None 35,67972,45.0,31,zsnyrov@tiscali.cz,,,Obec Nýrov,2,Mgr. Petra Tomanová,2005-01-01,1970186.0
"Základní škola Blansko, Erbenova 13",Základní škola,103019383,49464191,B00,Základní škola,Jihomoravský kraj,Blansko,Blansko,Erbenova 1237,67801,720.0,503,reditel@erbenova.cz,,,Město Blansko,2,Mgr. Michal Souček,2005-01-01,15233065.0
"Základní škola Voděrady, příspěvková organizace",Základní škola Voděrady,118100556,75023059,B00,Základní škola,Jihomoravský kraj,Blansko,Voděrady,None 76,67901,60.0,42,voderady2@post.cz,,,Obec Voděrady,2,Mgr. Blanka Bendová,2005-01-01,7911963.0
"Základní škola a mateřská škola Březina, příspěvková organizace",Základní škola a mateřská škola,102007039,75020858,B00,Základní škola,Jihomoravský kraj,Brno-venkov,Březina,None 50,67905,100.0,70,reditel.brezina@seznam.cz,,,Obec Březina,2,Mgr. Jaroslav Wutka,2005-01-01,1937740.0
"Základní škola Cetkovice, okres Blansko, příspěvková organizace",Základní škola,102007063,70990255,B00,Základní škola,Jihomoravský kraj,Blansko,Cetkovice,Náves 91,67938,90.0,62,reditelka@zs-cetkovice.cz,,,Obec Cetkovice,2,Mgr. Martina Ondrová,2005-01-01,7804512.0
"Základní škola Doubravice nad Svitavou, příspěvková organizace",Základní škola,102007098,75023423,B00,Základní škola,Jihomoravský kraj,Blansko,Doubravice nad Svitavou,Soukopovo náměstí 90,67911,120.0,84,zsdoubravice@centrum.cz,,,Městys Doubravice nad Svitavou,2,Mgr. Pavlína Bartošová,2005-01-01,7814453.0
"Základní škola a Mateřská škola Křetín, okres Blansko, příspěvková organizace",Základní škola a Mateřská škola,102007357,75021528,B00,Základní škola,Jihomoravský kraj,Blansko,Křetín,None 142,67962,100.0,70,skola@zsmskretin.cz,,,Obec Křetín,2,"Mgr. Petra Procházková, Mgr.",2005-01-01,1958712.0
"Základní škola a mateřská škola Brno, Kotlářská 4, příspěvková organizace",Základní škola a mateřská škola,044993978,44993978,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Kotlářská 655,60200,800.0,560,kotlarska@kotlarska.cz,,,"Statutární město Brno, městská část Brno-střed",2,PhDr. Pavel Vyhňák,2005-01-01,19173024.0
"Základní škola a mateřská škola, Brno, Horníkova 1, příspěvková organizace",Základní škola a mateřská škola,048512575,48512575,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Horníkova 2170,62800,680.0,475,rburda@zshornikova.cz,,,"Statutární město Brno, městská část Brno-Líšeň",2,Mgr. Roman Burda,2005-01-01,19433182.0
"Základní škola Brno, nám. Míru 3, příspěvková organizace",Základní škola,048512648,48512648,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,náměstí Míru 375,60200,360.0,251,zsmiru@zsmirubrno.cz,,,"Statutární město Brno, městská část Brno-střed",2,Mgr. Kateřina Julínková,2005-01-01,19155425.0
"Základní škola a Mateřská škola Brno, Merhautova 37, příspěvková organizace",Základní škola a Mateřská škola,049466623,49466623,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Merhautova 932,61300,1020.0,714,sekretariat@zsmerhautova.cz,,,"Statutární město Brno, městská část Brno-sever",2,"PaedDr. Jana Foltýnová,, Ph.D.",2005-01-01,19297688.0
"Základní škola Brno, Jana Babáka 1, příspěvková organizace",Základní škola,062156624,62156624,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Jana Babáka 1960,61600,650.0,454,zsbabak@seznam.cz,,,"Statutární město Brno, městská část Brno-Žabovřesky",2,Mgr. Ivo Pokorný,2005-01-01,19596359.0
"Základní škola, Brno, Masarova 11, příspěvková organizace",Základní škola,044994044,44994044,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Masarova 2360,62800,750.0,525,zsmasarova@zsmasarova.cz,,,"Statutární město Brno, městská část Brno-Líšeň",2,Mgr. Alexandra Zálešáková,2005-01-01,19435126.0
"Základní škola, Brno, Gajdošova 3",Základní škola,048510921,48510921,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Gajdošova 1282,61500,800.0,560,sekretariat@zsgajdosova.cz,,,"Statutární město Brno, městská část Brno-Židenice",2,"Mgr. Rostislav Novotný, MBA",2005-01-01,19631626.0
"Základní škola Brno, Svážná 9, příspěvková organizace",Základní škola,048511927,48511927,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Svážná 438,63400,650.0,454,skola@zssvazna.cz,,,"Statutární město Brno, městská část Brno-Nový Lískovec",2,Mgr. Petr Punčochář,2005-01-01,19484780.0
"Základní škola Brno, Bakalovo nábřeží 8, příspěvková organizace",Základní škola,048512681,48512681,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Bakalovo nábřeží 8,63900,760.0,532,skola@bakalka.cz,,,"Statutární město Brno, městská část Brno-střed",2,PhDr. Yveta Gašparcová,2005-01-01,19121628.0
"Základní škola Brno, Úvoz 55, příspěvková organizace",Základní škola,048512699,48512699,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Úvoz 423,60200,560.0,392,skola@zsuvoz.cz,,,"Statutární město Brno, městská část Brno-střed",2,Mgr. Miloš Doležal,2005-01-01,19170041.0
"Základní škola a mateřská škola Brno, nám. 28. října 22, příspěvková organizace",Základní škola a mateřská škola,048512702,48512702,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Traubova 1917,60200,450.0,315,info@osmec.cz,,,"Statutární město Brno, městská část Brno-střed",2,Mgr. Ludmila Altmanová,2005-01-01,19196873.0
"Základní škola Brno, Vejrostova 1, příspěvková organizace",Základní škola,048513091,48513091,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Vejrostova 1066,63500,930.0,651,martin.janas@vejrostova.cz,,,"Statutární město Brno, městská část Brno-Bystrc",2,Mgr. Martin Janás,2005-01-01,19318162.0
"Základní škola Brno, Heyrovského 32, příspěvková organizace",Základní škola,048513121,48513121,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Heyrovského 611,63500,600.0,420,info@zshey32.cz,,,"Statutární město Brno, městská část Brno-Bystrc",2,Mgr. Ludmila Eliášová,2005-01-01,19313390.0
"Základní škola a Mateřská škola Brno, Chalabalova 2, příspěvková organizace",Základní škola a Mateřská škola,048513245,48513245,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Chalabalova 575,62300,650.0,454,vburesova@chalabalova.cz,,,"Statutární město Brno, městská část Brno-Kohoutovice",2,PhDr. Vladimír Moškvan,2005-01-01,19385081.0
"Základní škola, Brno, Labská 27, příspěvková organizace",Základní škola,049465872,49465872,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Labská 269,62500,600.0,420,skola@zslabska.cz,,,"Statutární město Brno, městská část Brno-Starý Lískovec",2,Mgr. Michal Dlouhý,2005-01-01,79164455.0
"Základní škola, Brno, Řehořova 3, příspěvková organizace",Základní škola,049466135,49466135,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Řehořova 1020,61800,450.0,315,sekretariat@zsrehorova.cz,,,"Statutární město Brno, městská část Brno-Černovice",2,Mgr. Josef Binek,2005-01-01,19351780.0
"Základní škola Brno, Arménská 21, příspěvková organizace",Základní škola,049466241,49466241,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Arménská 573,62500,810.0,567,skola@zsarmenska.cz,,,"Statutární město Brno, městská část Brno-Bohunice",2,Mgr. Petr Holánek,2024-10-23,19216530.0
"Základní škola a Mateřská škola Brno, Milénova 14, příspěvková organizace",Základní škola a Mateřská škola,049466607,49466607,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Milénova 808,63800,720.0,503,skola@zsmilenova.cz,,,"Statutární město Brno, městská část Brno-sever",2,Mgr. Jiří Křenek,2005-01-01,19266898.0
"Základní škola a Mateřská škola Brno, Blažkova 9, příspěvková organizace",Základní škola a Mateřská škola,049466631,49466631,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Blažkova 21,63800,700.0,489,skola@zsblazkova.cz,,,"Statutární město Brno, městská část Brno-sever",2,Mgr. Petr Kapounek,2005-01-01,19258330.0
"Základní škola, Brno, Krásného 24",Základní škola,049467247,49467247,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Krásného 3191,63600,500.0,350,info@zskrasneho.cz,,,"Statutární město Brno, městská část Brno-Židenice",2,Mgr.  Jeanette Macháčková,2005-01-01,19651872.0
"Základní škola, Brno, Mutěnická 23, příspěvková organizace",Základní škola,060556102,60556102,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Mutěnická 4164,62800,500.0,350,info@zsmutenicka.cz,,,"Statutární město Brno, městská část Brno-Vinohrady",2,Mgr. Magda Střelská,2005-01-01,19573235.0
